DataYear,DistrictCountyNumber,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,AMI_Male,AMI_Female,ASI_Male,ASI_Female,BLK_Male,BLK_Female,HIS_Male,HIS_Female,HPI_Male,HPI_Female,MLT_Male,MLT_Female,WHT_Male,WHT_Female,TotalMale,TotalFemale,TotalMinority,TotalStudents,Entity,MinMaxGrade,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
13-14,58,Pine                                         ,0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,000, ,07,07E,10,0,0,0,0,0,0,0,0,0,0,1,0,9,25,10,25,1,35,District,EC-12,, ,
13-14,58,Pine                                         ,0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,000, ,07,07E,11,0,0,0,0,0,0,0,0,0,0,0,0,14,12,14,12,0,26,District,EC-12,, ,
13-14,58,Pine                                         ,0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,000, ,07,07E,12,0,0,0,0,0,0,2,0,0,0,0,0,11,18,13,18,2,31,District,EC-12,, ,
13-14,58,Pine                                         ,0577,01,WILLOW RIVER PUBLIC SCHOOL DISTRICT,000, ,07,07E,All Grades,1,0,0,0,0,0,2,3,0,0,5,4,210,221,218,228,15,446,District,EC-12,, ,
13-14,58,Pine                                         ,0578,01,PINE CITY PUBLIC SCHOOL DISTRICT   ,000, ,07,07E,EC,0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,8,0,15,District,EC-12,, ,
13-14,58,Pine                                         ,0578,01,PINE CITY PUBLIC SCHOOL DISTRICT   ,000, ,07,07E,KG,1,0,0,0,1,0,0,2,0,0,2,3,58,53,62,58,9,120,District,EC-12,, ,
13-14,58,Pine                                         ,0578,01,PINE CITY PUBLIC SCHOOL DISTRICT   ,000, ,07,07E,01,1,1,0,0,0,0,0,1,0,0,0,3,78,41,79,46,6,125,District,EC-12,, ,
13-14,58,Pine                                         ,0578,01,PINE CITY PUBLIC SCHOOL DISTRICT   ,000, ,07,07E,02,1,0,0,0,0,1,0,5,0,0,1,3,59,61,61,70,11,131,District,EC-12,, ,
13-14,58,Pine                                         ,0578,01,PINE CITY PUBLIC SCHOOL DISTRICT   ,000, ,07,07E,03,1,0,0,0,0,0,4,0,0,0,3,1,69,53,77,54,9,131,District,EC-12,, ,
13-14,58,Pine                                         ,0578,01,PINE CITY PUBLIC SCHOOL DISTRICT   ,000, ,07,07E,04,0,0,0,0,0,0,5,2,0,0,1,1,58,49,64,52,9,116,District,EC-12,, ,
13-14,58,Pine                                         ,0578,01,PINE CITY PUBLIC SCHOOL DISTRICT   ,000, ,07,07E,05,1,1,0,0,0,0,1,3,0,0,0,1,62,70,64,75,7,139,District,EC-12,, ,
13-14,58,Pine                                         ,0578,01,PINE CITY PUBLIC SCHOOL DISTRICT   ,000, ,07,07E,06,0,1,1,0,1,1,2,3,0,0,2,1,61,52,67,58,12,125,District,EC-12,, ,
13-14,58,Pine                                         ,0578,01,PINE CITY PUBLIC SCHOOL DISTRICT   ,000, ,07,07E,07,2,0,0,0,0,0,4,3,0,0,0,1,56,74,62,78,10,140,District,EC-12,, ,
13-14,58,Pine                                         ,0578,01,PINE CITY PUBLIC SCHOOL DISTRICT   ,000, ,07,07E,08,1,0,0,0,1,0,1,2,0,0,1,1,58,55,62,58,7,120,District,EC-12,, ,
13-14,58,Pine                                         ,0578,01,PINE CITY PUBLIC SCHOOL DISTRICT   ,000, ,07,07E,09,0,0,1,0,0,1,1,2,0,0,1,1,61,60,64,64,7,128,District,EC-12,, ,
13-14,58,Pine                                         ,0578,01,PINE CITY PUBLIC SCHOOL DISTRICT   ,000, ,07,07E,10,1,2,0,2,1,2,0,2,0,0,1,2,60,71,63,81,13,144,District,EC-12,, ,
13-14,58,Pine                                         ,0578,01,PINE CITY PUBLIC SCHOOL DISTRICT   ,000, ,07,07E,11,0,0,0,1,0,0,0,0,1,0,0,0,72,63,73,64,2,137,District,EC-12,, ,
13-14,58,Pine                                         ,0578,01,PINE CITY PUBLIC SCHOOL DISTRICT   ,000, ,07,07E,12,2,1,3,1,0,0,0,0,0,0,0,0,70,56,75,58,7,133,District,EC-12,, ,
13-14,58,Pine                                         ,0578,01,PINE CITY PUBLIC SCHOOL DISTRICT   ,000, ,07,07E,All Grades,11,6,5,4,4,5,18,25,1,0,12,18,829,766,880,824,109,1704,District,EC-12,, ,
13-14,59,Pipestone                                    ,0581,01,EDGERTON PUBLIC SCHOOL DISTRICT    ,000, ,06,08,EC,0,0,0,0,0,0,0,2,0,0,0,0,1,5,1,7,2,8,District,EC-12,, ,
13-14,59,Pipestone                                    ,0581,01,EDGERTON PUBLIC SCHOOL DISTRICT    ,000, ,06,08,KG,0,0,0,0,0,0,5,5,0,0,1,0,14,11,20,16,11,36,District,EC-12,, ,
13-14,59,Pipestone                                    ,0581,01,EDGERTON PUBLIC SCHOOL DISTRICT    ,000, ,06,08,01,0,0,0,0,0,0,6,1,0,0,1,1,9,15,16,17,9,33,District,EC-12,, ,
