districtName,actCode,year,score
Medford Ind School Dist 763,247814,2017,19.8
Melrose Area Ind Sd 740,247798,2017,20.6
Menahga Ind School Dist 821,247860,2017,20.9
Mesabi East Ind Sch Dist 2711,247724,2017,20.2
Milaca Ind School District 912,247496,2017,19.3
Minneapolis Public Sch Dist,247310,2017,19.1
Minneota Public Schools,247424,2017,20.8
Minnetonka Isd 276,247292,2017,25.7
Minnewaska Area Sch Dist 2149,247642,2017,20.5
Montevideo Ind School Dist 129,247120,2017,20
Monticello Ind School Dist 882,247904,2017,21.7
Moorhead Ind School Dist 152,247140,2017,20.8
Moose Lake Ind School Dist 97,247084,2017,21.6
Mora Ind School Dist 332,247354,2017,18.9
Morris Ind School Dist 2769,247820,2017,21.5
Mounds View Ind Sch Dist 621,247648,2017,23.5
Mountain Iron-Buhl Isd 712,247746,2017,18.1
Mountain Lake Ind Sch Dist 173,247154,2017,20.4
Murray Co Central Isd 2169,247530,2017,21.7
N St Paul Mplwd Oakdale Sd 622,247650,2017,20.2
Nashwauk-Keewatin Ind Sd 319,247344,2017,18.6
Nevis Ind School District 308,247326,2017,20.6
New London-Spicer Ind Sd 0345,247360,2017,20.9
New Prague Ind Sch Dist 721,247764,2017,22.2
New Ulm Pub Sch District 88,247066,2017,22.5
New York Mills Ind Sd 553,247580,2017,21.5
Nicollet Ind School Dist 507,247532,2017,21.2
Norman Co East Isd 2215,247560,2017,20
Norman Co West Isd 2527,247556,2017,19.2
North Branch Ind Sch Dist 138,247126,2017,19.9
Northfield Ind School Dist 659,247706,2017,22.6
Northland Cmty Sd 118,247110,2017,18
Nrheg Ind Sch Dist 2168,247874,2017,20.5
Ogilvie Ind School Dist 333,247356,2017,16.7
Onamia Ind School Dist 480,247498,2017,18.8
Orono Ind School District 278,247296,2017,25.1
Ortonville Ind Sch Dist 2903,247050,2017,20.8
Osakis Ind School District 213,247208,2017,21.3
Osseo Ind School District 279,247298,2017,20.3
Owatonna School Dist 761,247816,2017,20.8
Park Rapids Ind Sch Dist 309,247330,2017,21.4
Parkers Prairie Ind Sd 547,247582,2017,20.8
Paynesville Ind Sch Dist 741,247800,2017,19.5
Pelican Rapids Ind Sd 548,247584,2017,17.9
Pequot Lakes Ind Sch Dist 186,247166,2017,22.7
Perham-Dent Ind Sch Dist 549,247586,2017,19.7
Pierz School District 484,247508,2017,20.2
Pillager Ind School Dist 116,247108,2017,19
Pine City Sch District 578,247602,2017,19.7
Pine Island School Dist 255,247262,2017,23
Pine River-Backus Ind Sd 2174,247104,2017,19.7
Pipestone Area Sch Dist 2689,247614,2017,20.6
Plainview Elgin Millville Sd,247856,2017,21.7
Princeton Public Sch Dist 477,247500,2017,19.9
Prior Lake-Savage Area Sd 719,247766,2017,23.5
Proctor Ind School Dist 704,247748,2017,21.5
Randolph School District 195,247178,2017,22.7
Red Lake Co Central Isd 2906,247658,2017,19.4
Red Lake Falls Sch Dist 630,247662,2017,19.2
