DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
12-13,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,KG,237,143,19,46,46,21,237,143,19,46,46,21,, ,EC-12,
12-13,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,01,226,121,25,44,42,23,226,121,25,44,42,23,, ,EC-12,
12-13,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,02,215,109,18,47,46,20,215,109,18,47,46,20,, ,EC-12,
12-13,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,03,229,105,20,57,53,27,229,105,20,57,53,27,, ,EC-12,
12-13,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,04,198,97,15,41,39,28,198,97,15,41,39,28,, ,EC-12,
12-13,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,05,210,112,25,46,6,32,210,112,25,46,6,32,, ,EC-12,
12-13,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,06,206,106,21,35,35,28,206,106,21,35,35,28,, ,EC-12,
12-13,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,07,204,94,26,26,25,27,204,94,26,26,25,27,, ,EC-12,
12-13,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,08,234,111,26,23,23,47,234,111,26,23,23,47,, ,EC-12,
12-13,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,09,223,111,23,22,5,36,223,111,23,22,5,36,, ,EC-12,
12-13,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,10,224,99,20,24,23,31,224,99,20,24,23,31,, ,EC-12,
12-13,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,11,245,114,19,27,27,40,245,114,19,27,27,40,, ,EC-12,
12-13,02,Anoka                                        ,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     ,000, ,11,11,12,221,93,21,23,22,44,221,93,21,23,22,44,, ,EC-12,
